time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,guid_ax,guid_ay,guid_az,tgo,dap_c12,dap_c3,dap_c6,dap_c9,nav_roll,nav_pitch,nav_yaw,mag_in_x,mag_in_y,mag_in_z,gyro_p,gyro_q,gyro_r,roll_rate_rps,mag_ok,gyro_ok,T0,T1,T2,T3,fsa_flag,canard_deploy,canard_control,guid_start,proximity_flag,main_cycles,t1_cycles,t2_cycles,t3_cycles
0.00,-1187924.386000,-6195202.745000,939686.902100,-487.317513,-98.070210,638.558312,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.115038,0.000000,0.000000,11.000000,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.01,-1187924.386000,-6195202.745000,939686.902100,-487.317513,-98.070210,638.558312,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.114984,0.000000,0.000000,10.999991,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
0.02,-1187924.386000,-6195202.745000,939686.902100,-487.317513,-98.070210,638.558312,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.114820,0.000000,0.000000,10.999965,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
0.03,-1187924.386000,-6195202.745000,939686.902100,-487.317513,-98.070210,638.558312,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.114548,0.000000,0.000000,10.999922,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0
0.04,-1187924.386000,-6195202.745000,939686.902100,-487.317513,-98.070210,638.558312,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.114166,0.000000,0.000000,10.999861,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0
0.05,-1187924.386000,-6195202.745000,939686.902100,-487.317513,-98.070210,638.558312,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.113676,0.000000,0.000000,10.999783,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0
0.06,-1187924.386000,-6195202.745000,939686.902100,-487.317513,-98.070210,638.558312,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.113076,0.000000,0.000000,10.999688,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0
0.07,-1187924.386000,-6195202.745000,939686.902100,-487.317513,-98.070210,638.558312,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.112368,0.000000,0.000000,10.999575,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0
0.08,-1187924.386000,-6195202.745000,939686.902100,-487.317513,-98.070210,638.558312,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.111550,0.000000,0.000000,10.999445,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0
0.09,-1187924.386000,-6195202.745000,939686.902100,-487.317513,-98.070210,638.558312,0.000000,0.000000,0.000000,0.000,-0.024433,-0.024433,-0.024433,-0.024433,0.000000,0.000000,0.000000,0.000000,0.436332,0.000000,69.110624,0.000000,0.000000,10.999297,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0
